dataset,method,timeSlice,GT_predict,TRUE
Boring,word2vec_0.50,21,0.145,0.188
Boring,word2vec_0.50,22,0.141,0.196
Boring,word2vec_0.50,23,0.138,0.125
Boring,word2vec_0.50,24,0.137,0.179
Boring,word2vec_0.50,25,0.134,0.167
Boring,word2vec_0.50,26,0.130,0.088
Boring,word2vec_0.50,27,0.119,0.102
Boring,word2vec_0.50,28,0.114,0.083
Boring,word2vec_0.50,29,0.110,0.000
Boring,word2vec_0.50,30,0.107,0.059
Boring,word2vec_0.50,31,0.092,0.112
Boring,word2vec_0.50,32,0.090,0.000
Boring,word2vec_0.50,33,0.089,0.048
Boring,word2vec_0.50,34,0.081,0.112
Boring,word2vec_0.50,35,0.081,0.182
Boring,word2vec_0.50,36,0.080,0.000
Boring,word2vec_0.50,37,0.081,0.250
Boring,word2vec_0.50,38,0.080,0.000
Boring,word2vec_0.50,39,0.080,0.111
Boring,word2vec_0.50,40,0.078,0.121
Boring,word2vec_0.50,41,0.078,0.143
Boring,word2vec_0.50,42,0.077,0.143
Boring,word2vec_0.50,43,0.076,0.000
Boring,word2vec_0.50,44,0.073,0.000
Boring,word2vec_0.50,45,0.068,0.017
Boring,word2vec_0.60,1,0.600,0.800
Boring,word2vec_0.60,2,0.789,1.000
Boring,word2vec_0.60,3,0.815,0.875
Boring,word2vec_0.60,4,0.735,0.714
Boring,word2vec_0.60,5,0.500,0.596
Boring,word2vec_0.60,6,0.459,0.500
Boring,word2vec_0.60,7,0.418,0.333
Boring,word2vec_0.60,8,0.397,0.438
Boring,word2vec_0.60,9,0.369,0.435
Boring,word2vec_0.60,10,0.363,0.455
Boring,word2vec_0.60,11,0.373,0.667
Boring,word2vec_0.60,12,0.381,0.700
Boring,word2vec_0.60,13,0.398,1.000
Boring,word2vec_0.60,14,0.369,0.455
